Time,WeekD,YearD,TMP,WS,WD,RH,PP,PM2.5(t-1),PM2.5(t)
0.782608695652174,0.3333333333333333,0.14218009478672985,0.4903048022314077,0.3005946671782084,0.7684210526315789,0.29545454545454547,0.0,0.04819277108433735,20
0.8260869565217391,0.3333333333333333,0.14218009478672985,0.4754511543502369,0.17878380970650298,0.887719298245614,0.3181818181818182,0.0,0.2289156626506024,8
0.8695652173913043,0.3333333333333333,0.14218009478672985,0.47010787377759855,0.2603107615576444,0.519298245614035,0.32954545454545453,0.0,0.08433734939759036,8
0.9130434782608695,0.3333333333333333,0.14218009478672985,0.46026145108713906,0.09936696719739116,0.5473684210526316,0.3522727272727273,0.0,0.08433734939759036,15
0.9565217391304348,0.3333333333333333,0.14218009478672985,0.44856672379608153,0.07903318626510647,0.6385964912280702,0.375,0.0,0.1686746987951807,17
1.0,0.5,0.14691943127962084,0.4333434149947911,0.14713216957605985,0.49122807017543857,0.38636363636363635,0.0,0.1927710843373494,18
0.0,0.5,0.14691943127962084,0.400611620795107,0.25973527719163636,0.5087719298245614,0.42045454545454547,0.0,0.20481927710843373,33
0.043478260869565216,0.5,0.14691943127962084,0.3771885606747992,0.24074429311337048,0.5228070175438596,0.45454545454545453,0.0,0.3855421686746988,19
0.08695652173913043,0.5,0.14691943127962084,0.3595456531236348,0.1764818722424708,0.5017543859649123,0.48863636363636365,0.0,0.21686746987951808,17
0.13043478260869565,0.5,0.14691943127962084,0.34311254494740734,0.15135238826011893,0.4105263157894737,0.5113636363636364,0.0,0.1927710843373494,17
0.17391304347826086,0.5,0.14691943127962084,0.297543435158114,0.06426242087089969,0.8210526315789474,0.5909090909090909,0.0,0.1927710843373494,20
0.21739130434782608,0.5,0.14691943127962084,0.2770104513223779,0.03951659313255324,0.49122807017543857,0.625,0.0,0.2289156626506024,19
0.2608695652173913,0.5,0.14691943127962084,0.2676345061666162,0.0172645309802417,0.30526315789473685,0.6363636363636364,0.0,0.21686746987951808,22
